local_bsz,step_time,sync_time,placement,num_nodes,num_replicas
4,0.1467141062021255,0.0030653440207242,1,1,1
6,0.1497757285833358,0.0030531199723482,1,1,1
8,0.1517400741577148,0.0030628480613231,1,1,1
11,0.1590839177370071,0.0030643840581178,1,1,1
12,0.1625133603811264,0.0030890239328145,1,1,1
4,0.1271120607852935,0.0079897600114345,11,2,2
6,0.1302570849657058,0.0086503680944442,11,2,2
8,0.1344844847917556,0.0081736959517002,11,2,2
11,0.1477183550596237,0.007926655948162,11,2,2
12,0.1537751406431198,0.0079086719155311,11,2,2
4,0.1278313994407653,0.010058431982994,12,2,3
6,0.1317122280597686,0.0100497921109199,12,2,3
8,0.1382562816143036,0.0096433919668197,12,2,3
11,0.1498885005712509,0.0095486080646514,12,2,3
12,0.1564078032970428,0.0097272959351539,12,2,3
4,0.1289955973625183,0.0105251200795173,13,2,4
6,0.1299251616001129,0.0101907838582992,13,2,4
8,0.1390621811151504,0.0105038720369338,13,2,4
11,0.1510240137577057,0.0102582399845123,13,2,4
12,0.1577749103307724,0.0104915840029716,13,2,4
4,0.135801151394844,0.0204753919839859,14,2,5
6,0.1443334519863128,0.0167852156758308,14,2,5
8,0.1479769200086593,0.0162415360212326,14,2,5
11,0.1611236631870269,0.0167294079065322,14,2,5
12,0.1669539511203766,0.0167502077817916,14,2,5
4,0.1410431861877441,0.027075392127037,15,2,6
6,0.145098865032196,0.0217146241664886,15,2,6
8,0.1548118144273758,0.0204144639968872,15,2,6
11,0.1663480848073959,0.0194499200582504,15,2,6
12,0.1701844185590744,0.0179903999567031,15,2,6
4,0.1456526964902877,0.0291351683139801,16,2,7
6,0.1464971303939819,0.0239377280473709,16,2,7
8,0.1529029458761215,0.0198014718294143,16,2,7
11,0.164006158709526,0.0190573440790176,16,2,7
12,0.1703333556652069,0.0185528960227966,16,2,7
4,0.1444417238235473,0.0267398400306701,17,2,8
6,0.1480573117733001,0.024688576221466,17,2,8
8,0.1566232144832611,0.0221354240179061,17,2,8
11,0.1680950224399566,0.0215416958332061,17,2,8
12,0.1723159849643707,0.0196401920318603,17,2,8
4,0.1481238007545471,0.0271941119432449,18,2,9
6,0.1543328911066055,0.0275144319534301,18,2,9
8,0.1563355326652526,0.0214246399402618,18,2,9
11,0.1681887805461883,0.0202840319871902,18,2,9
12,0.1752728521823883,0.0200955517292022,18,2,9
4,0.1348151117563247,0.0114933760762214,2,1,2
6,0.1355772018432617,0.0114829438328742,2,1,2
8,0.1368618458509445,0.0116110080480575,2,1,2
11,0.1507875174283981,0.0117436159849166,2,1,2
12,0.1583355814218521,0.0120780159235,2,1,2
4,0.1283735632896423,0.010400384068489,22,2,4
6,0.1300638020038604,0.0100169600248336,22,2,4
8,0.1375703364610672,0.0105781120061874,22,2,4
11,0.1512460261583328,0.010144511938095,22,2,4
12,0.1598348915576934,0.0102584320306777,22,2,4
4,0.1355610787868499,0.0106634240150451,23,2,5
6,0.1322948634624481,0.0109376640319824,23,2,5
8,0.138659581542015,0.0104151679873466,23,2,5
11,0.1528764516115188,0.0107105279564857,23,2,5
12,0.1582384556531906,0.0105502080321311,23,2,5
4,0.1400121450424194,0.0232878720760345,24,2,6
6,0.1426811814308166,0.0191823360919952,24,2,6
8,0.1528597623109817,0.0184863998889923,24,2,6
11,0.1646923571825027,0.0180850558280944,24,2,6
12,0.1715717166662216,0.0183992321491241,24,2,6
4,0.1379474699497223,0.0211047679185867,25,2,7
6,0.1501534879207611,0.0206117119789123,25,2,7
8,0.1518540531396865,0.0174468481540679,25,2,7
11,0.1634034216403961,0.0169399679899215,25,2,7
12,0.1698798239231109,0.0173966720104217,25,2,7
4,0.1415603309869766,0.0231199358701705,26,2,8
6,0.1434630453586578,0.0184775681495666,26,2,8
8,0.1521359384059906,0.0181569281816482,26,2,8
11,0.1649563908576965,0.0177102079391479,26,2,8
12,0.1708386689424514,0.0178330878019332,26,2,8
4,0.1443194448947906,0.0269984000921249,27,2,9
6,0.1496622711420059,0.0259584001302719,27,2,9
8,0.1547856032848358,0.0215285762548446,27,2,9
11,0.1677907407283783,0.0207698562145233,27,2,9
12,0.1740287542343139,0.0199932799339294,27,2,9
4,0.1432852298021316,0.0235480320453643,28,2,10
6,0.14788319170475,0.0221746559143066,28,2,10
8,0.1546368151903152,0.0193004800081253,28,2,10
11,0.1690597087144851,0.0195984641313552,28,2,10
12,0.1727969646453857,0.0189619840383529,28,2,10
4,0.1297640353441238,0.0108922240138053,3,1,3
6,0.1289507746696472,0.0099668479561805,3,1,3
8,0.1361490190029144,0.009499391913414,3,1,3
11,0.1508103013038635,0.0098328959941864,3,1,3
12,0.1566461026668548,0.009749695956707,3,1,3
4,0.1346648186445236,0.011709183871746,33,2,6
6,0.1364303231239318,0.011299456000328,33,2,6
8,0.1439728140830993,0.0118384639024734,33,2,6
11,0.1583606153726577,0.0116732159852981,33,2,6
12,0.1613599509000778,0.0115733120441436,33,2,6
4,0.1399625092744827,0.025576511979103,34,2,7
6,0.1444761902093887,0.0203725439310073,34,2,7
8,0.1516792625188827,0.0184879361391067,34,2,7
11,0.1625511199235916,0.0174462078809738,34,2,7
12,0.1697099953889846,0.0175195521116256,34,2,7
4,0.1433161795139312,0.024772800207138,35,2,8
6,0.1462305635213852,0.0215333759784698,35,2,8
8,0.1551151275634765,0.0204942079782485,35,2,8
11,0.1672912240028381,0.0192609918117523,35,2,8
12,0.1712857782840728,0.0184022397994995,35,2,8
4,0.1453571319580078,0.0224588159322738,36,2,9
6,0.1449982821941375,0.0194522238969802,36,2,9
8,0.1543493270874023,0.0188251519203186,36,2,9
11,0.1673756539821624,0.0192468479871749,36,2,9
12,0.1730806678533554,0.0189604479074478,36,2,9
4,0.1494718044996261,0.0278074239492416,37,2,10
6,0.1506327241659164,0.0259214080572128,37,2,10
8,0.1564779281616211,0.022260351896286,37,2,10
11,0.1679798513650894,0.0205358082056045,37,2,10
12,0.1730651259422302,0.0200581761598587,37,2,10
4,0.1485117971897125,0.0292088317871093,38,2,11
6,0.1509826481342315,0.0267005438804626,38,2,11
8,0.1562404334545135,0.0220130562782287,38,2,11
11,0.1675724983215332,0.0200389759540557,38,2,11
12,0.1750544160604477,0.0207153278589248,38,2,11
4,0.1364933401346206,0.0179399676918983,4,1,4
6,0.1486765891313552,0.0167244801521301,4,1,4
8,0.1501875817775726,0.0175700477361679,4,1,4
11,0.1623734384775161,0.0165908480286598,4,1,4
12,0.1674606651067733,0.0158784639835357,4,1,4
4,0.1438257992267608,0.0286568318605422,44,2,8
6,0.1473720818758011,0.0255583359003067,44,2,8
8,0.1538765132427215,0.0220060160160064,44,2,8
11,0.1654475182294845,0.0203587199449539,44,2,8
12,0.1727616786956787,0.019690111875534,44,2,8
4,0.1480454057455063,0.032287936091423,45,2,9
6,0.1513048112392425,0.0275431042909622,45,2,9
8,0.1582031697034835,0.0244524798393249,45,2,9
11,0.1678922325372696,0.0204656639099121,45,2,9
12,0.1752965748310089,0.0208694400787353,45,2,9
4,0.1476883888244629,0.0305047678947448,46,2,10
6,0.151812270283699,0.0286777600049972,46,2,10
8,0.1568809300661087,0.0243404157161712,46,2,10
11,0.1697141975164413,0.0234885121583938,46,2,10
12,0.1739594042301178,0.0208230400085449,46,2,10
4,0.1478663682937622,0.0255799680948257,47,2,11
6,0.150309756398201,0.0243464959859848,47,2,11
8,0.1585012525320053,0.0217642238140106,47,2,11
11,0.1689295321702957,0.0201718399524688,47,2,11
12,0.1731267422437667,0.0194405119419097,47,2,11
4,0.1558547616004943,0.0306256004571914,48,2,12
6,0.1556540131568908,0.0327549439668655,48,2,12
8,0.1631448864936828,0.028061888217926,48,2,12
11,0.1719571650028228,0.0235678076744079,48,2,12
12,0.1767754554748535,0.0219374079704284,48,2,12
4,0.1407996565103531,0.0188682879209518,5,1,5
6,0.1425493657588958,0.0187470082044601,5,1,5
8,0.1523144096136093,0.0173966720104217,5,1,5
11,0.1645784378051757,0.0173862400054931,5,1,5
12,0.1708112508058548,0.017239679813385,5,1,5
4,0.1417210847139358,0.0262304000854492,55,2,10
6,0.1460272818803787,0.0233912321329116,55,2,10
8,0.1542185544967651,0.0207102079391479,55,2,10
11,0.1655093133449554,0.0187436161041259,55,2,10
12,0.1714969873428344,0.0189262081384658,55,2,10
4,0.1502336859703064,0.0344788480997085,56,2,11
6,0.1538294851779937,0.0301558398008346,56,2,11
8,0.1594254225492477,0.0258369920253753,56,2,11
11,0.172914445400238,0.0235419518947601,56,2,11
12,0.1764030307531356,0.0221281280517578,56,2,11
4,0.1531903743743896,0.0344162559509277,57,2,12
6,0.1558597236871719,0.0285303680896759,57,2,12
8,0.1630401015281677,0.0258442239761352,57,2,12
11,0.1701867431402206,0.0213869441747665,57,2,12
12,0.1766922026872635,0.0215127680301666,57,2,12
4,0.1522113531827926,0.0328961921930313,58,2,13
6,0.1576930731534958,0.0321188479661941,58,2,13
8,0.1620036214590072,0.0266677758693695,58,2,13
11,0.1729793846607208,0.0244888957738876,58,2,13
12,0.1768368929624557,0.0219726719856262,58,2,13
4,0.1490761935710907,0.0321535997390747,6,1,6
6,0.1511105746030807,0.0282295039892196,6,1,6
8,0.1568983346223831,0.0246025599241256,6,1,6
11,0.1678672581911087,0.0218097919225692,6,1,6
12,0.1736684888601303,0.0210165121555328,6,1,6
4,0.1519025564193725,0.0275504640340805,66,2,12
6,0.1618118435144424,0.0273937921524047,66,2,12
8,0.1608963012695312,0.0261018878221511,66,2,12
11,0.1716603338718414,0.0218132480382919,66,2,12
12,0.1761593073606491,0.0217824639081954,66,2,12
4,0.1557504832744598,0.0408361604213714,67,2,13
6,0.1578304022550583,0.0330676484107971,67,2,13
8,0.1624541878700256,0.0293774716854095,67,2,13
11,0.1745933145284652,0.0289309436082839,67,2,13
12,0.1814131885766983,0.0243958401679992,67,2,13
4,0.1501864939928054,0.0352193921804428,68,2,14
6,0.1528621017932891,0.0293913598060607,68,2,14
8,0.1613358408212661,0.0277567999362945,68,2,14
11,0.1706742942333221,0.0225390079021453,68,2,14
12,0.175888106226921,0.0210307202339172,68,2,14
4,0.1449456959962844,0.0286135041713714,7,1,7
6,0.1481111049652099,0.0234565117359161,7,1,7
8,0.157760664820671,0.0218823679685592,7,1,7
11,0.1666453033685684,0.0191406717300415,7,1,7
12,0.1729515641927719,0.0192058880329132,7,1,7
4,0.1549456864595413,0.036454272031784,77,2,14
6,0.1579187512397766,0.0316446080207824,77,2,14
8,0.1630270332098007,0.0270916482210159,77,2,14
11,0.1711961925029754,0.0219520640373229,77,2,14
12,0.1772688627243042,0.0218637442588806,77,2,14
4,0.1538840681314468,0.0335800318717956,78,2,15
6,0.1565302610397339,0.0290311678647994,78,2,15
8,0.1611940860748291,0.0252288640737533,78,2,15
11,0.1728814244270324,0.0235027199983596,78,2,15
12,0.1767226010560989,0.0212025599479675,78,2,15
4,0.1467273533344268,0.0314562562704086,8,1,8
6,0.1485749781131744,0.0257692799568176,8,1,8
8,0.1559542417526245,0.0229034241437912,8,1,8
11,0.167246475815773,0.0212344958782196,8,1,8
12,0.173038050532341,0.0196983039379119,8,1,8
4,0.1545726060867309,0.0347288959026336,88,2,16
6,0.1572476774454116,0.0331197440624237,88,2,16
8,0.1653000712394714,0.0309275521039962,88,2,16
11,0.174143448472023,0.0262331519126892,88,2,16
12,0.178270474076271,0.0239175677299499,88,2,16
